episode,step,agent,x,y,z,dist_to_goal,jammer_power,reward,collided,oob,reached_goal,timestamp
1,1,Drone1,-9.673933982849121,0.21560929715633392,-4.545169353485107,35.667510986328125,1.4376317267306149e-05,-0.010007188158633653,0,0,0,1.0
1,1,Drone2,-0.10912682861089706,-9.838074684143066,-4.644290924072266,35.86201477050781,1.596180663909763e-05,-0.010007980903319549,0,0,0,1.0
1,1,Drone3,9.983641624450684,-0.03285723552107811,-4.5412492752075195,22.32868766784668,1.6259013136732392e-05,-0.010008129506568366,0,0,0,1.0
1,2,Drone1,-9.014039039611816,0.6348475813865662,-4.572415351867676,34.885616302490234,1.3585802662419155e-05,0.7718878909365594,0,0,0,1.0
1,2,Drone2,-0.48313024640083313,-9.265128135681152,-4.6668806076049805,35.17764663696289,1.4944559552532155e-05,0.6743606612651456,0,0,0,1.0
1,2,Drone3,9.726537704467773,-0.5538486242294312,-4.572757244110107,21.74720573425293,1.5235786122502759e-05,0.5714743157006887,0,0,0,1.0
1,3,Drone1,-8.214593887329102,1.1050043106079102,-4.611530303955078,33.95931625366211,1.2826049896830227e-05,0.9162936358031766,0,0,0,1.0
1,3,Drone2,-0.9363154172897339,-8.516345024108887,-4.69466495513916,34.30305099487305,1.3959423995402176e-05,0.864588662377846,0,0,0,1.0
1,3,Drone3,9.375726699829102,-1.3156726360321045,-4.605216979980469,20.90847396850586,1.4283901691669598e-05,0.8287246237962245,0,0,0,1.0
1,4,Drone1,-7.387853622436523,1.5736976861953735,-4.645369052886963,33.01134490966797,1.2094655176042579e-05,0.9379652966665526,0,0,0,1.0
1,4,Drone2,-1.4275898933410645,-7.666197776794434,-4.7227630615234375,33.32311248779297,1.302275722991908e-05,0.9699319957014632,0,0,0,1.0
1,4,Drone3,9.001144409179688,-2.197359085083008,-4.6382904052734375,19.95207977294922,1.339349000772927e-05,0.9463874988116368,0,0,0,1.0
1,5,Drone1,-6.559616565704346,2.040158748626709,-4.6770243644714355,32.06358337402344,1.1394910870876629e-05,0.9377558381890958,0,0,0,1.0
1,5,Drone2,-1.9812184572219849,-6.746499538421631,-4.747066497802734,32.250823974609375,1.2137928933952935e-05,1.0622824442191268,0,0,0,1.0
1,5,Drone3,8.580938339233398,-3.164940118789673,-4.677063465118408,18.89857292175293,1.2563187738123816e-05,1.04350056960242,0,0,0,1.0
1,6,Drone1,-5.734139919281006,2.505441904067993,-4.709221363067627,31.118967056274414,1.0725497304520104e-05,0.9346109550003712,0,0,0,1.0
1,6,Drone2,-2.5889170169830322,-5.839148044586182,-4.7730255126953125,31.15860939025879,1.1309874025755562e-05,1.082208929413573,0,0,0,1.0
1,6,Drone3,8.104397773742676,-4.151658535003662,-4.723607540130615,17.802459716796875,1.1785786227846984e-05,1.0861073120629408,0,0,0,1.0
1,7,Drone1,-4.909592151641846,2.971646547317505,-4.741245269775391,30.174814224243164,1.0441571248520631e-05,0.9341476112456257,0,0,0,1.0
1,7,Drone2,-3.2170393466949463,-4.993941307067871,-4.801039695739746,30.10655403137207,1.0925796232186258e-05,1.0420498959886026,0,0,0,1.0
1,7,Drone3,7.58627462387085,-5.096581935882568,-4.761727333068848,16.724838256835938,1.1486392395454459e-05,1.0676157167647398,0,0,0,1.0
1,8,Drone1,-4.086916446685791,3.4398858547210693,-4.772160530090332,29.231298446655273,1.1441580682003405e-05,0.9335100567975496,0,0,0,1.0
1,8,Drone2,-3.855339765548706,-4.179612636566162,-4.831809043884277,29.074594497680664,1.194118431158131e-05,1.0219535630992505,0,0,0,1.0
1,8,Drone3,7.049929141998291,-6.007338047027588,-4.80052375793457,15.669585227966309,1.26949671539478e-05,1.045246681386052,0,0,0,1.0
1,9,Drone1,-3.2615933418273926,3.9101786613464355,-4.802786350250244,28.28467559814453,1.2834902008762583e-05,0.9366164310597378,0,0,0,1.0
1,9,Drone2,-4.489800930023193,-3.3826026916503906,-4.8658976554870605,28.059406280517578,1.3346932973945513e-05,1.005181543696599,0,0,0,1.0
1,9,Drone3,6.5149407386779785,-6.899283409118652,-4.836728096008301,14.632152557373047,1.4327441022032872e-05,1.0274255068727507,0,0,0,1.0
1,10,Drone1,-2.442075252532959,4.380858898162842,-4.832688331604004,27.342866897583008,1.4289564205682836e-05,0.9318015557794206,0,0,0,1.0
1,10,Drone2,-5.120558261871338,-2.58880877494812,-4.8949995040893555,27.049270629882812,1.4816830116615165e-05,1.0001282422197073,0,0,0,1.0
1,10,Drone3,5.980961799621582,-7.7918782234191895,-4.87258243560791,13.595087051391602,1.6084341041278094e-05,1.0270574638109247,0,0,0,1.0
1,11,Drone1,-1.6213574409484863,4.854752540588379,-4.861752510070801,26.39849853515625,1.5742905816296116e-05,0.9343604909738497,0,0,0,1.0
1,11,Drone2,-5.750782489776611,-1.7919771671295166,-4.9240193367004395,26.037208557128906,1.6296595276799053e-05,1.0020539244562678,0,0,0,1.0
1,11,Drone3,5.451599597930908,-8.686473846435547,-4.906469345092773,12.558843612670898,1.788934605428949e-05,1.026234494047676,0,0,0,1.0
1,12,Drone1,-0.8024219274520874,5.330467700958252,-4.890124320983887,25.454822540283203,1.7079915778595023e-05,0.9336674549151576,0,0,0,1.0
1,12,Drone2,-6.380727767944336,-0.9906816482543945,-4.951906204223633,25.021902084350586,1.7680305973044597e-05,1.0052976326253338,0,0,0,1.0
1,12,Drone3,4.925900936126709,-9.586442947387695,-4.939251899719238,11.519998550415039,1.9630659153335728e-05,1.0288352469262827,0,0,0,1.0
1,13,Drone1,0.015163775533437729,5.808541297912598,-4.917661666870117,24.511180877685547,1.814649294828996e-05,0.9336325893511821,0,0,0,1.0
1,13,Drone2,-6.998446464538574,-0.19950933754444122,-4.979916095733643,24.022092819213867,1.8814558643498458e-05,0.989799857857397,0,0,0,1.0
